127.0.0.1, 2016-10-14 12:21:16, GET, /start/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-10-14 12:21:16, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-10-14 12:21:16, GET, /start/static/images/twitter.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-10-14 12:21:16, GET, /start/static/images/facebook.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-10-14 12:21:16, GET, /start/static/images/gplus-32.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-10-14 12:21:27, GET, /default/index, HTTP/1.1, 200, 0.038000
127.0.0.1, 2016-10-14 12:21:32, GET, /start/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-10-14 12:21:34, GET, /user/logout, HTTP/1.1, 303, 0.060000
127.0.0.1, 2016-10-14 12:21:34, GET, /, HTTP/1.1, 200, 0.071000
127.0.0.1, 2016-10-14 12:21:39, GET, /index, HTTP/1.1, 200, 0.032000
127.0.0.1, 2016-10-14 12:33:34, GET, /index, HTTP/1.1, 200, 0.104000
127.0.0.1, 2016-10-14 12:33:34, GET, /start/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-10-14 12:33:34, GET, /start/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-10-14 12:33:34, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-14 12:33:34, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2016-10-14 12:33:34, GET, /start/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.005000
127.0.0.1, 2016-10-14 12:33:34, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.005000
127.0.0.1, 2016-10-14 12:33:34, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-14 12:33:34, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2016-10-14 12:33:34, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2016-10-14 12:33:34, GET, /start/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-10-14 12:33:34, GET, /start/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-10-14 12:33:34, GET, /start/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-10-14 12:33:34, GET, /start/static/images/twitter.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-10-14 12:33:34, GET, /start/static/images/facebook.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-10-14 12:33:34, GET, /start/static/images/gplus-32.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-10-14 12:33:34, GET, /start/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-10-14 12:35:08, GET, /start/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-10-14 12:35:11, GET, /user/login, HTTP/1.1, 200, 0.095000
127.0.0.1, 2016-10-14 12:35:11, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-10-14 12:35:22, POST, /user/login, HTTP/1.1, 303, 0.086000
127.0.0.1, 2016-10-14 12:35:22, GET, /, HTTP/1.1, 200, 0.070000
127.0.0.1, 2016-10-14 12:35:22, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-10-14 13:44:28, GET, /, HTTP/1.1, 500, 0.170000
127.0.0.1, 2016-10-14 13:44:28, GET, /favicon.ico, HTTP/1.1, 404, 0.000000
127.0.0.1, 2016-10-14 13:44:31, GET, /admin/default/ticket/start/127.0.0.1.2016-10-14.13-44-27.3123aa46-8817-4648-a403-64f708ba1d59, HTTP/1.1, 303, 0.102000
127.0.0.1, 2016-10-14 13:44:31, GET, /admin, HTTP/1.1, 200, 0.061000
127.0.0.1, 2016-10-14 13:44:31, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-10-14 13:44:35, POST, /admin, HTTP/1.1, 303, 0.048000
127.0.0.1, 2016-10-14 13:44:35, GET, /admin/default/ticket/start/127.0.0.1.2016-10-14.13-44-27.3123aa46-8817-4648-a403-64f708ba1d59, HTTP/1.1, 200, 0.064000
127.0.0.1, 2016-10-14 13:44:35, GET, /admin/static/_2.14.6/images/help.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-10-14 13:46:24, GET, /, HTTP/1.1, 200, 0.148000
127.0.0.1, 2016-10-14 13:46:24, GET, /start/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-14 13:46:24, GET, /start/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-10-14 13:46:24, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-14 13:46:24, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2016-10-14 13:46:24, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-10-14 13:46:24, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-14 13:46:24, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-14 13:46:24, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.004000
